指标,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
北京市,0,0,0,0,0,0,3.77,4.0,3.93,4.17,4.2,4.27,4.5,5.01,5.2,4.9,4.13,3.79,4.35,3.9
天津市,0,0,0,0,0,0,0.56,0.59,0.79,0.82,0.78,0.77,0.76,0.74,0.73,1.66,1.41,1.22,1.03,0.88
河北省,0,0,0,0,0,0,0.97,0.99,0.91,0.84,0.77,0.76,0.84,1.29,1.14,0.98,0.84,0.75,0.82,0.72
山西省,0,0,0,0,0,0,0.76,0.71,0.67,0.63,0.59,0.57,0.54,1.89,1.55,1.3,1.07,0.94,0.74,0.57
内蒙古自治区,0,0,0,0,0,0,1.96,1.88,1.85,1.78,1.61,1.67,1.62,1.59,1.52,1.43,1.29,1.55,1.49,1.23
辽宁省,0,0,0,0,0,0,2.94,2.88,2.79,2.74,2.64,2.61,2.56,4.73,4.05,3.62,2.93,2.42,2.0,1.61
吉林省,0,0,0,0,0,0,1.37,1.44,1.48,1.62,1.48,1.31,1.24,1.18,0.99,0.82,0.68,0.62,0.54,0.43
黑龙江省,0,0,0,0,0,0,1.11,1.09,1.04,0.96,0.83,1.42,1.53,2.08,2.07,1.72,1.43,2.01,1.41,1.06
上海市,0,0,0,0,0,0,7.35,7.42,7.19,6.9,6.54,6.4,6.14,6.51,6.69,7.34,5.33,5.26,5.2,4.65
江苏省,0,0,0,0,0,0,3.99,4.01,3.7,3.3,3.05,2.97,2.88,7.92,7.37,6.54,5.57,5.44,5.13,4.45
浙江省,0,0,0,0,0,0,4.67,4.57,5.89,5.26,4.59,3.71,3.38,8.66,7.74,6.85,5.71,5.4,5.11,4.27
安徽省,0,0,0,0,0,0,3.8,3.71,3.51,3.13,2.91,2.8,2.72,3.31,2.63,1.98,1.56,1.32,1.06,0.8
福建省,0,0,0,0,0,0,5.66,5.14,6.92,6.11,3.33,3.19,2.94,4.94,4.27,3.68,3.12,2.93,2.69,2.3
江西省,0,0,0,0,0,0,1.97,1.92,1.75,1.65,1.56,1.48,1.24,1.56,1.36,1.14,0.96,0.8,0.66,0.5
山东省,0,0,0,0,0,0,4.04,4.22,4.41,3.29,3.12,3.0,2.86,4.7,4.24,3.67,3.1,2.54,2.5,1.93
河南省,0,0,0,0,0,0,1.8,1.67,1.56,1.5,1.35,1.25,1.27,1.91,1.68,1.47,1.26,1.04,0.88,0.76
湖北省,0,0,0,0,0,0,4.5,4.05,3.68,3.38,3.12,2.77,2.68,2.65,2.14,1.82,1.33,1.19,1.32,1.06
湖南省,0,0,0,0,0,0,4.67,3.65,3.22,2.41,2.26,2.2,2.31,2.25,2.28,1.9,1.31,1.11,1.21,0.97
广东省,0,0,0,0,0,0,37.31,37.48,36.55,35.07,34.5,33.55,33.98,34.89,33.32,31.41,27.48,25.68,24.61,20.9
广西壮族自治区,0,0,0,0,0,0,6.24,5.62,5.12,4.83,4.5,2.96,2.82,3.5,3.03,2.5,2.1,2.01,2.06,1.71
海南省,0,0,0,0,0,0,1.44,1.26,1.12,0.75,0.61,0.66,0.76,0.82,0.81,0.66,0.55,0.71,0.75,0.62
重庆市,0,0,0,0,0,0,2.97,2.8,2.25,1.81,1.48,1.26,1.15,2.24,1.86,1.37,1.05,0.87,0.76,0.6
四川省,0,0,0,0,0,0,4.15,3.7,3.36,3.09,2.73,2.4,2.1,2.27,1.64,1.05,0.85,0.7,1.71,1.4
贵州省,0,0,0,0,0,0,0.47,0.4,0.32,0.72,0.69,0.65,0.62,0.71,0.59,0.5,0.4,0.4,0.43,0.32
云南省,0,0,0,0,0,0,7.39,7.06,6.68,6.0,5.7,2.87,2.88,4.58,3.95,3.29,2.84,2.5,2.22,1.81
西藏自治区,0,0,0,0,0,0,0.54,0.48,0.34,0.32,0.29,0.24,0.22,0.19,0.27,0.23,0.17,0.07,0.37,0.15
陕西省,0,0,0,0,0,0,4.66,4.37,3.84,3.38,2.93,2.66,2.53,3.35,2.7,2.12,1.45,1.26,1.23,1.06
甘肃省,0,0,0,0,0,0,0.2,0.1,0.08,0.07,0.05,0.05,0.1,0.1,0.09,0.07,0.06,0.08,0.33,0.3
青海省,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.05,0.04
宁夏回族自治区,0,0,0,0,0,0,0.13,0.09,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01
新疆维吾尔自治区,0,0,0,0,0,0,0.35,0.99,0.77,0.58,0.53,0.54,0.69,0.62,0.56,0.51,0.35,0.36,0.44,0.36
